[01/07/2024 22:24:47] [INFO] received Windows console close event; shutting log-core down
[01/07/2024 22:24:53] [INFO] received Windows console close event; shutting log-core down
[01/07/2024 22:25:59] [INFO] received Windows console close event; shutting log-core down
[01/07/2024 22:27:18] [INFO] received Windows console close event; shutting log-core down
[01/07/2024 22:28:23] [INFO] received Windows console close event; shutting log-core down
[01/07/2024 23:09:19] [INFO] received Windows console close event; shutting log-core down
[01/07/2024 23:10:47] [INFO] received Windows console close event; shutting log-core down
[01/07/2024 23:12:24] [INFO] received Windows console close event; shutting log-core down
[01/07/2024 23:17:34] [INFO] received Windows console close event; shutting log-core down
[01/07/2024 23:19:28] [INFO] received Windows console close event; shutting log-core down
[01/07/2024 23:21:26] [INFO] received Windows console close event; shutting log-core down
[01/07/2024 23:22:46] [INFO] received Windows console close event; shutting log-core down
[01/07/2024 23:23:58] [INFO] received Windows console close event; shutting log-core down
[01/07/2024 23:42:48] [INFO] received Windows console close event; shutting log-core down
[01/07/2024 23:44:59] [INFO] received Windows console close event; shutting log-core down
[01/07/2024 23:59:40] [INFO] received Windows console close event; shutting log-core down
[02/07/2024 00:01:30] [INFO] received Windows console close event; shutting log-core down
[02/07/2024 00:02:24] [INFO] received Windows console close event; shutting log-core down
[02/07/2024 00:03:20] [INFO] received Windows console close event; shutting log-core down
[02/07/2024 00:04:10] [INFO] received Windows console close event; shutting log-core down
[02/07/2024 00:20:33] [INFO] received Windows console close event; shutting log-core down
[02/07/2024 00:21:05] [INFO] received Windows console close event; shutting log-core down
[02/07/2024 00:23:13] [INFO] received Windows console close event; shutting log-core down
[02/07/2024 00:25:29] [INFO] received Windows console close event; shutting log-core down
[02/07/2024 00:26:31] [INFO] received Windows console close event; shutting log-core down
[02/07/2024 00:37:58] [INFO] received Windows console close event; shutting log-core down
[02/07/2024 00:39:44] [INFO] received Windows console close event; shutting log-core down
[02/07/2024 00:40:21] [INFO] received Windows console close event; shutting log-core down
[02/07/2024 00:41:20] [INFO] received Windows console close event; shutting log-core down
[02/07/2024 00:44:36] [INFO] received Windows console close event; shutting log-core down
[02/07/2024 00:48:51] [INFO] received Windows console close event; shutting log-core down
[02/07/2024 00:49:20] [INFO] received Windows console close event; shutting log-core down
[02/07/2024 00:50:00] [INFO] received Windows console close event; shutting log-core down
[02/07/2024 00:50:40] [INFO] received Windows console close event; shutting log-core down
[02/07/2024 00:52:06] [INFO] received Windows console close event; shutting log-core down
[02/07/2024 00:53:06] [INFO] received Windows console close event; shutting log-core down
[02/07/2024 00:53:38] [INFO] received Windows console close event; shutting log-core down
[02/07/2024 00:54:11] [INFO] received Windows console close event; shutting log-core down
[02/07/2024 00:58:39] [INFO] received Windows console close event; shutting log-core down
[02/07/2024 01:09:12] [INFO] received Windows console close event; shutting log-core down
[02/07/2024 01:11:30] [INFO] received Windows console close event; shutting log-core down
[02/07/2024 01:14:57] [INFO] received Windows console close event; shutting log-core down
[02/07/2024 01:22:56] [INFO] received Windows console close event; shutting log-core down
[02/07/2024 01:31:35] [INFO] received Windows console close event; shutting log-core down
[08/07/2024 20:10:20] [INFO] received Windows console close event; shutting log-core down
[08/07/2024 20:29:53] [INFO] received Windows console close event; shutting log-core down
[08/07/2024 20:31:09] [INFO] received Windows console close event; shutting log-core down
[08/07/2024 20:34:01] [INFO] received Windows console close event; shutting log-core down
[08/07/2024 20:38:04] [INFO] received Windows console close event; shutting log-core down
[08/07/2024 20:39:06] [INFO] received Windows console close event; shutting log-core down
[08/07/2024 20:44:57] [INFO] received Windows console close event; shutting log-core down
